Site_Name,Station,Ntwk,Elev,Lat,Lon
Oxford Spring,12G18S,SNTL ,6740,42.26,-112.13
Packsaddle Spring,11F18,SNOW ,8200,43.72,-111.35
Pebble Creek,12G02,SNOW ,6400,42.77,-112.1
Perreau Meadows,14D05,SNOW ,8500,45.13,-114.07
Pierce R.S.,15C05S,SNTL ,3080,46.49,-115.8
Pierce Ranger Station,15C05,SNOW ,3080,46.5,-115.8
Pine Creek Pass,11F02S,SNTL ,6720,43.57,-111.21
Placer Creek,16E02,SNOW ,5860,44.82,-116.7
Prairie,15F06S,SNTL ,4800,43.51,-115.57
Ragged Mountain,17B06,SNOW ,4200,47.85,-117.03
Ragged Mountain,17B06S,SNTL ,4210,47.86,-117.04
Rattlesnake Spring,15F19,SNOW ,3950,43.2,-115.55
Red Canyon AM,16G11,SNOW ,6600,42.43,-116.85
Reynolds Creek,16F08S,SNTL ,5600,43.29,-116.85
Reynolds Mountain,16F08,SNOW ,6752,43.67,-116.75
Reynolds West Fork #1,16F10,SNOW ,6952,43.67,-116.8
Reynolds West Fork #2,16F09,SNOW ,6798,43.07,-116.8
Reynolds-Dobson Divide,16F11,SNOW ,7064,43.08,-116.82
Roland Summit,15B05,SNOW ,5120,47.4,-115.65
Sandpoint Exp Stn,16A11,SNOW ,2100,48.28,-116.57
Savage Pass,14C04S,SNTL ,6170,46.47,-114.63
Schwartz Lake,13E16S,SNTL ,8540,44.85,-113.84
Schweitzer Basin,16A10S,SNTL ,6090,48.37,-116.64
Secesh Summit,15D01S,SNTL ,6520,45.19,-115.97
Sedgwick Peak,11G30S,SNTL ,7850,42.52,-111.96
Shanghi Summit,15C04S,SNTL ,4570,46.57,-115.74
Sheep Mtn.,11F11S,SNTL ,6570,43.21,-111.69
Sherwin,16C01S,SNTL ,3200,46.95,-116.34
Shirts Creek,16E16,SNOW ,4425,44.42,-116.43
Skitwish Ridge,16B11,SNOW ,4850,47.72,-116.5
Slug Creek Divide,11G05S,SNTL ,7225,42.56,-111.3
Smiley Mountain,13F13S,SNTL ,9520,43.73,-113.83
Soldier R.S.,14F11S,SNTL ,5740,43.48,-114.83
Somsen Ranch,11G01S,SNTL ,6800,42.95,-111.36
South Mtn.,16G01S,SNTL ,6500,42.76,-116.9
Spring Mountain Canyon,13E30,SNOW ,8800,44.35,-113.25
Squaw Flat,16E05S,SNTL ,6240,44.77,-116.25
Squaw Meadow,15D02,SNOW ,5900,45.15,-116
State Line,11F01,SNOW ,6660,43.55,-111.05
Stickney Mill,14F02S,SNTL ,7430,43.86,-114.21
Strawberry Creek,11G09,SNOW ,5820,42.31,-111.67
Sublett,12G08,SNOW ,5950,42.38,-112.97
Succor Creek AM,16F06,SNOW ,6310,43.12,-116.88
Sunset,15B09S,SNTL ,5540,47.56,-115.82
Swede Peak,13F09S,SNTL ,7640,43.63,-113.97
Telfer Ranch,13F06,SNOW ,5840,43.53,-113.77
Thorson Cabin #2,17E06,SNOW ,5100,44.55,-117
Tollgate,15F20,SNOW ,4590,43.23,-115.58
Trinity Mtn.,15F05S,SNTL ,7770,43.63,-115.44
Tripod Summit,16E03,SNOW ,5260,44.28,-116.13
Twin Spirit Divide,16B12,SNOW ,3480,47.9,-117
Upper Elkhorn,12G10,SNOW ,7140,42.35,-112.31
Upper Home Canyon,11G26,SNOW ,8560,42.42,-111.23
Valley View,11E08,SNOW ,6680,44.63,-111.32
Van Wyck,16E14S,SNTL ,4920,44.38,-116.34
Vaught Ranch AM,16G12,SNOW ,5850,42.49,-116.44
Vienna Mine,14F04S,SNTL ,8960,43.8,-114.85
Webb Creek #2,16C21,SNOW ,4720,46.15,-116.77
Webber Creek,12E05,SNOW ,6700,44.35,-112.67
West Branch,16D08S,SNTL ,5560,45.07,-116.45
White Elephant,11E36S,SNTL ,7710,44.53,-111.41
Wildhorse Divide,12G17S,SNTL ,6490,42.76,-112.48
Willow Flat,11G04,SNOW ,6070,42.14,-111.63
Wilson Creek,15G02S,SNTL ,7120,42.01,-115
Worm Creek,11G28,SNOW ,6620,42.18,-111.68
