reservoir,lat,lng,state
"Lake Davis",39.883,-120.467,CA
"Frenchman Dam",39.883,-120.183,CA
"Little Grass Valley",39.724,-121.019,CA
"Sly Creek",39.584,-121.116,CA
"Oroville Dam",39.54,-121.493,CA
"Thermalito  Total",39.458,-121.638,CA
"Bowman Lake",39.45,-120.652,CA
"Lake Spaulding S Yuba System",39.441,-120.658,CA
"French Lake",39.44,-120.544,CA
"New Bullards Bar",39.393,-121.14,CA
"Scotts Flat",39.274,-120.917,CA
"Englebright",39.239,-121.267,CA
Rollins,39.135,-120.948,CA
"Bear River At Camp Far West Dam",39.05,-121.317,CA
"French Meadows",39.112,-120.468,CA
"Hell Hole",39.058,-120.407,CA
"Loon Lake",38.983,-120.323,CA
"Union Valley",38.864,-120.438,CA
"Ice House",38.824,-120.359,CA
"Slab Creek",38.7725,-120.6994,CA
"Caples Lake",38.707,-120.048,CA
"Folsom Lake",38.683,-121.183,CA
"Lake Natoma",38.65,-121.183,CA
"Indian Valley",39.083,-122.533,CA
"Clear Lk   Cache Creek",38.957,-122.642,CA
Berryessa,38.513,-122.104,CA
"Los Vaqueros Reservoir",37.838,-121.726,CA
"Jenkinson Lake",38.713,-120.56,CA
"Lower Bear",38.538,-120.257,CA
"Salt Springs",38.497,-120.216,CA
Pardee,38.25,-120.85,CA
"Camanche Reservoir",38.225,-121.021,CA
"New Hogan Lake",38.152,-120.812,CA
"Spicer Meadows",38.393,-119.998,CA
Donnells,38.329,-119.96,CA
Relief,38.267,-119.733,CA
"Beardsley Lake",38.203,-120.075,CA
Strawberry,38.2,-119.983,CA
"New Melones Reservoir",37.9481,-120.525,CA
Tulloch,37.875,-120.603,CA
"Cherry Lake",37.976,-119.913,CA
"Lake Eleanor",37.974,-119.88,CA
"Hetch Hetchy",37.95,-119.783,CA
"Don Pedro Reservoir",37.702,-120.421,CA
"Modesto Reservoir",37.657,-120.675,CA
"Turlock Lake",37.6,-120.583,CA
"Lake Mcclure",37.584,-120.267,CA
"Buchanan Dam",37.213,-119.97,CA
"Hidden Dam",37.2,-119.917,CA
"Thomas A Edison",37.37,-118.987,CA
"Mammoth Pool",37.329,-119.328,CA
"Crane Valley",37.283,-119.517,CA
"Florence Lake",37.267,-118.967,CA
"Huntington Lake",37.228,-119.221,CA
"Shaver Lake",37.145,-119.302,CA
"Redinger Lake",37.145,-119.449,CA
"Friant Dam",37.001,-119.705,CA
"Oneill Forebay",37.067,-121.067,CA
"San Luis Reservoir",37.001,-121.002,CA
"Los Banos",37.05,-120.867,CA
"Courtright",37.072,-118.967,CA
Wishon,37.005,-118.969,CA
"Pine Flat Dam",36.833,-119.325,CA
"Terminus Dam",36.415,-119.002,CA
"Success Dam",36.061,-118.922,CA
"Isabella Dam",35.646,-118.473,CA
Stampede,39.471,-120.103,CA
"Boca Reservoir",39.383,-120.1,CA
"Prosser Creek Reservoir",39.3794,-120.1367,CA
"Lake Tahoe",39.181,-120.118,CA
"Bridgeport Reservoir",38.325,-119.211,CA
"Saddlebag Lake Reservoir",37.966,-119.272,CA
"Grant Lake",37.862,-119.102,CA
"Gem  Lake",37.752,-119.14,CA
"Lake Crowley",37.604,-118.707,CA
"South Lake",37.1759033203125,-118.562660217285,CA
"Tinemaha Reservoir",37.058,-118.225,CA
Haiwee,36.137,-117.948,CA
"Lake Silverwood",34.304,-117.318,CA
